,cluster_id,cluster_name,title,total_price,condition,details,num_images,target
83,7,," Sonic Jam (Sega Saturn) NEW SEALED NEAR-MINT, SUPER RARE!  ",106.44,  Brand New ,"              Sonic Jam is a compilation of Sega's famous hedgehog's hits. The CD includes the full versions of Sonic the Hedgehog, Sonic the Hedgehog 2, Sonic the Hedgehog 3, and Sonic &amp; Knuckles -- along with a 3D museum full of artwork, videos, and other Sega memorabilia. <br><br>The original titles' platform gameplay remains intact, with plenty of running, jumping, and Super Sonic Spin-dashing against the evil Doctor Robotnik. Doctor Robotnik is the mad scientist who enjoys unleashing his mechanical creations on Sonic's Disney-esque island paradise. <br><br>New difficulty levels have been added; younger players can adopt an easy mode, while more experienced Sonic fans can go up against ultra-difficult renditions of the Sonic classics. Get ready for an attitude-packed trip down memory lane with Sonic Jam. ",6,1
49,8,sega saturn ss console system japan japanese jap video game ntsc #a2 [usa]0920i, Sega Saturn SS Japanese Console G0329  ,56.44,  Used ,,2,1
138,8,sega saturn ss console system japan japanese jap video game ntsc #a2 [usa]0920i, SEGA SATURN SS Console System Japan Japanese JAP VIDEO GAME NTSC #a2 [USA]0920I  ,35.44,  Used ," Enjoy entertaining classic video games with loved ones on the Sega Saturn video game console. Featuring dual processors, this Sega console ensures that you have a smooth gaming experience. The 12-Mbit video RAM of the Sega Saturn console gives you stunning and immersive visual output. Moreover, with 32,000 colors, this video game console has a vibrant display. Developed by Yamaha, the Saturn Custom Sound processor of this Sega console delivers excellent audio output. So put your favorite game CDs in the double speed CD-ROM drive of this video game console and enjoy unlimited entertainment. ",3,1
174,8,sega saturn ss console system japan japanese jap video game ntsc #a2 [usa]0920i, SEGA SATURN SS Console System Japan Japanese JAP VIDEO GAME NTSC #a2 [USA]0925C  ,41.44,  Used ," Enjoy entertaining classic video games with loved ones on the Sega Saturn video game console. Featuring dual processors, this Sega console ensures that you have a smooth gaming experience. The 12-Mbit video RAM of the Sega Saturn console gives you stunning and immersive visual output. Moreover, with 32,000 colors, this video game console has a vibrant display. Developed by Yamaha, the Saturn Custom Sound processor of this Sega console delivers excellent audio output. So put your favorite game CDs in the double speed CD-ROM drive of this video game console and enjoy unlimited entertainment. ",3,1
279,8,sega saturn ss console system japan japanese jap video game ntsc #a2 [usa]0920i,   Sega Saturn White Console System Into the dream bundle Japanese version SS ,114.0,  Used ,,11,0
29,8,, SONIC JAM Sega Saturn Japan Game SS SEGA  ,20.95,  Used ,,4,1
40,9,"ultimate mortal kombat 3 sega saturn, 1996","   Complete! Ultimate Mortal Kombat 3 (Sega Saturn, 1996) Game DISC IS BEAUTIFUL!!! ",24.45,  Very Good ,"              Ultimate Mortal Kombat 3 for the Sega Saturn continues the blood filled fighting game series. In this installment of the Shaolin Tournament, you pick one of 19 fighters in an effort to either save humankind or obliterate it. Along with the instantly available fighters there are also two bosses. Characters from all of the previous Mortal Kombat games are included, such as: Raiden, Sub-Zero, Liu Kang, Scorpion, Sonya, Johnny Cage, and Kano. They all have new combos, fatalities, and animalities. Many of the same backgrounds are here as well as four new ones. Plus, there is an eight fighter tournament mode. ",3,1
51,9,"ultimate mortal kombat 3 sega saturn, 1996","   Ultimate Mortal Kombat 3  Sega Saturn, 1996 ",22.0,  Very Good ,"              Ultimate Mortal Kombat 3 for the Sega Saturn continues the blood filled fighting game series. In this installment of the Shaolin Tournament, you pick one of 19 fighters in an effort to either save humankind or obliterate it. Along with the instantly available fighters there are also two bosses. Characters from all of the previous Mortal Kombat games are included, such as: Raiden, Sub-Zero, Liu Kang, Scorpion, Sonya, Johnny Cage, and Kano. They all have new combos, fatalities, and animalities. Many of the same backgrounds are here as well as four new ones. Plus, there is an eight fighter tournament mode. ",1,1
57,9,"ultimate mortal kombat 3 sega saturn, 1996"," Ultimate Mortal Kombat 3 (Sega Saturn) Rare, Complete and Tested  ",19.95,  Very Good ,"              Ultimate Mortal Kombat 3 for the Sega Saturn continues the blood filled fighting game series. In this installment of the Shaolin Tournament, you pick one of 19 fighters in an effort to either save humankind or obliterate it. Along with the instantly available fighters there are also two bosses. Characters from all of the previous Mortal Kombat games are included, such as: Raiden, Sub-Zero, Liu Kang, Scorpion, Sonya, Johnny Cage, and Kano. They all have new combos, fatalities, and animalities. Many of the same backgrounds are here as well as four new ones. Plus, there is an eight fighter tournament mode. ",5,1
63,9,"ultimate mortal kombat 3 sega saturn, 1996",   Saturn Ultimate Mortal Kombat 3 III NTSC Disc ONLY 50119 ,15.35,  Good ,"              Ultimate Mortal Kombat 3 for the Sega Saturn continues the blood filled fighting game series. In this installment of the Shaolin Tournament, you pick one of 19 fighters in an effort to either save humankind or obliterate it. Along with the instantly available fighters there are also two bosses. Characters from all of the previous Mortal Kombat games are included, such as: Raiden, Sub-Zero, Liu Kang, Scorpion, Sonya, Johnny Cage, and Kano. They all have new combos, fatalities, and animalities. Many of the same backgrounds are here as well as four new ones. Plus, there is an eight fighter tournament mode. ",0,1
67,9,"ultimate mortal kombat 3 sega saturn, 1996", ULTIMATE MORTAL KOMBAT 3 - sega saturn complete cib  ,37.45,  Good ,"              Ultimate Mortal Kombat 3 for the Sega Saturn continues the blood filled fighting game series. In this installment of the Shaolin Tournament, you pick one of 19 fighters in an effort to either save humankind or obliterate it. Along with the instantly available fighters there are also two bosses. Characters from all of the previous Mortal Kombat games are included, such as: Raiden, Sub-Zero, Liu Kang, Scorpion, Sonya, Johnny Cage, and Kano. They all have new combos, fatalities, and animalities. Many of the same backgrounds are here as well as four new ones. Plus, there is an eight fighter tournament mode. ",1,1
75,9,"ultimate mortal kombat 3 sega saturn, 1996"," Ultimate Mortal Kombat 3 (Sega Saturn, 1996)  ",16.44,  Acceptable ,,1,1
81,9,"ultimate mortal kombat 3 sega saturn, 1996"," Ultimate Mortal Kombat 3 (Sega Saturn, 1996) Used CIB B6  ",24.7,  Acceptable ,"              Ultimate Mortal Kombat 3 for the Sega Saturn continues the blood filled fighting game series. In this installment of the Shaolin Tournament, you pick one of 19 fighters in an effort to either save humankind or obliterate it. Along with the instantly available fighters there are also two bosses. Characters from all of the previous Mortal Kombat games are included, such as: Raiden, Sub-Zero, Liu Kang, Scorpion, Sonya, Johnny Cage, and Kano. They all have new combos, fatalities, and animalities. Many of the same backgrounds are here as well as four new ones. Plus, there is an eight fighter tournament mode. ",1,1
127,9,"ultimate mortal kombat 3 sega saturn, 1996", Ultimate Mortal Kombat 3 Sega Saturn Tested Working Game Disc  ,16.44,  Acceptable ,"              Ultimate Mortal Kombat 3 for the Sega Saturn continues the blood filled fighting game series. In this installment of the Shaolin Tournament, you pick one of 19 fighters in an effort to either save humankind or obliterate it. Along with the instantly available fighters there are also two bosses. Characters from all of the previous Mortal Kombat games are included, such as: Raiden, Sub-Zero, Liu Kang, Scorpion, Sonya, Johnny Cage, and Kano. They all have new combos, fatalities, and animalities. Many of the same backgrounds are here as well as four new ones. Plus, there is an eight fighter tournament mode. ",2,1
133,9,"ultimate mortal kombat 3 sega saturn, 1996"," Ultimate Mortal Kombat 3 (Sega Saturn, 1996)  ",27.45,  Very Good ,,2,1
153,9,"ultimate mortal kombat 3 sega saturn, 1996"," Ultimate Mortal Kombat 3 (Sega Saturn, 1996) Disc Only!  ",16.44,  Acceptable ,"              Ultimate Mortal Kombat 3 for the Sega Saturn continues the blood filled fighting game series. In this installment of the Shaolin Tournament, you pick one of 19 fighters in an effort to either save humankind or obliterate it. Along with the instantly available fighters there are also two bosses. Characters from all of the previous Mortal Kombat games are included, such as: Raiden, Sub-Zero, Liu Kang, Scorpion, Sonya, Johnny Cage, and Kano. They all have new combos, fatalities, and animalities. Many of the same backgrounds are here as well as four new ones. Plus, there is an eight fighter tournament mode. ",1,1
155,9,"ultimate mortal kombat 3 sega saturn, 1996"," Ultimate Mortal Kombat 3 (Sega Saturn, 1996) Game and Manual Only  ",16.45,  Acceptable ,,3,1
197,9,"ultimate mortal kombat 3 sega saturn, 1996", Ultimate Mortal Kombat 3 (Sega Saturn - 1996) Game + Manual Only  ,13.33,  Very Good ,"              Ultimate Mortal Kombat 3 for the Sega Saturn continues the blood filled fighting game series. In this installment of the Shaolin Tournament, you pick one of 19 fighters in an effort to either save humankind or obliterate it. Along with the instantly available fighters there are also two bosses. Characters from all of the previous Mortal Kombat games are included, such as: Raiden, Sub-Zero, Liu Kang, Scorpion, Sonya, Johnny Cage, and Kano. They all have new combos, fatalities, and animalities. Many of the same backgrounds are here as well as four new ones. Plus, there is an eight fighter tournament mode. ",8,1
269,9,"ultimate mortal kombat 3 sega saturn, 1996",   Ultimate Mortal Kombat 3 Sega Saturn Video Game (Disc Only) ,14.95,  Good ,"              Ultimate Mortal Kombat 3 for the Sega Saturn continues the blood filled fighting game series. In this installment of the Shaolin Tournament, you pick one of 19 fighters in an effort to either save humankind or obliterate it. Along with the instantly available fighters there are also two bosses. Characters from all of the previous Mortal Kombat games are included, such as: Raiden, Sub-Zero, Liu Kang, Scorpion, Sonya, Johnny Cage, and Kano. They all have new combos, fatalities, and animalities. Many of the same backgrounds are here as well as four new ones. Plus, there is an eight fighter tournament mode. ",2,0
288,9,"ultimate mortal kombat 3 sega saturn, 1996",    Ultimate Mortal Kombat 3 Sega Saturn Tested Working Game Disc ,12.98,  Acceptable ,"              Ultimate Mortal Kombat 3 for the Sega Saturn continues the blood filled fighting game series. In this installment of the Shaolin Tournament, you pick one of 19 fighters in an effort to either save humankind or obliterate it. Along with the instantly available fighters there are also two bosses. Characters from all of the previous Mortal Kombat games are included, such as: Raiden, Sub-Zero, Liu Kang, Scorpion, Sonya, Johnny Cage, and Kano. They all have new combos, fatalities, and animalities. Many of the same backgrounds are here as well as four new ones. Plus, there is an eight fighter tournament mode. ",2,0
291,9,"ultimate mortal kombat 3 sega saturn, 1996","   Ultimate Mortal Kombat 3  (Sega Saturn, 1996) ",12.32,  Good ,"              Ultimate Mortal Kombat 3 for the Sega Saturn continues the blood filled fighting game series. In this installment of the Shaolin Tournament, you pick one of 19 fighters in an effort to either save humankind or obliterate it. Along with the instantly available fighters there are also two bosses. Characters from all of the previous Mortal Kombat games are included, such as: Raiden, Sub-Zero, Liu Kang, Scorpion, Sonya, Johnny Cage, and Kano. They all have new combos, fatalities, and animalities. Many of the same backgrounds are here as well as four new ones. Plus, there is an eight fighter tournament mode. ",3,0
8,9,," Ultimate Mortal Kombat 3 (Sega Saturn, 1996) CIB   ",28.4,  Good ,"              Ultimate Mortal Kombat 3 for the Sega Saturn continues the blood filled fighting game series. In this installment of the Shaolin Tournament, you pick one of 19 fighters in an effort to either save humankind or obliterate it. Along with the instantly available fighters there are also two bosses. Characters from all of the previous Mortal Kombat games are included, such as: Raiden, Sub-Zero, Liu Kang, Scorpion, Sonya, Johnny Cage, and Kano. They all have new combos, fatalities, and animalities. Many of the same backgrounds are here as well as four new ones. Plus, there is an eight fighter tournament mode. ",1,1
22,10,"albert odyssey: legend of eldean (sega saturn, 1997)", Albert Odyssey: Legend of Eldean (Sega Saturn) COMPLETE (SUPERB CONDITION)  ,127.5,  Very Good ,"              Albert Odyssey: Legend of Eldean was originally released for the Super Nintendo system in Japan. It contains a menu-driven combat system that is turn-based. You control Pike and the other four members of his party. Pike is a young orphan who was raised by harpies. During the first ten years of his life all he has ever known is the peaceful ways of the forest. Now, seemingly from nowhere, monsters have begun attacking humans and violence has erupted in this magical land. When Pike's village is attacked he and his adopted sister, Laia, are turned to stone. Cirrus, a magical sword once held by his father, is able to rescue Pike but not Laia. Pike must embark on a quest in order to find a way to free his sister from stone. ",4,1
33,10,"albert odyssey: legend of eldean (sega saturn, 1997)"," Albert Odyssey: Legend of Eldean With Strategy Guide (Sega Saturn, 1997)  ",116.45,  Very Good ,"              Albert Odyssey: Legend of Eldean was originally released for the Super Nintendo system in Japan. It contains a menu-driven combat system that is turn-based. You control Pike and the other four members of his party. Pike is a young orphan who was raised by harpies. During the first ten years of his life all he has ever known is the peaceful ways of the forest. Now, seemingly from nowhere, monsters have begun attacking humans and violence has erupted in this magical land. When Pike's village is attacked he and his adopted sister, Laia, are turned to stone. Cirrus, a magical sword once held by his father, is able to rescue Pike but not Laia. Pike must embark on a quest in order to find a way to free his sister from stone. ",4,1
42,10,"albert odyssey: legend of eldean (sega saturn, 1997)"," Albert Odyssey: Legend of Eldean Group Disc (Sega Saturn, 1997) Complete!!!  ",115.95,  Like New ,"              Albert Odyssey: Legend of Eldean was originally released for the Super Nintendo system in Japan. It contains a menu-driven combat system that is turn-based. You control Pike and the other four members of his party. Pike is a young orphan who was raised by harpies. During the first ten years of his life all he has ever known is the peaceful ways of the forest. Now, seemingly from nowhere, monsters have begun attacking humans and violence has erupted in this magical land. When Pike's village is attacked he and his adopted sister, Laia, are turned to stone. Cirrus, a magical sword once held by his father, is able to rescue Pike but not Laia. Pike must embark on a quest in order to find a way to free his sister from stone. ",2,1
76,10,"albert odyssey: legend of eldean (sega saturn, 1997)","   Albert Odyssey: Legend of Eldean (Sega Saturn, 1997) ",86.45,  Good ,"              Albert Odyssey: Legend of Eldean was originally released for the Super Nintendo system in Japan. It contains a menu-driven combat system that is turn-based. You control Pike and the other four members of his party. Pike is a young orphan who was raised by harpies. During the first ten years of his life all he has ever known is the peaceful ways of the forest. Now, seemingly from nowhere, monsters have begun attacking humans and violence has erupted in this magical land. When Pike's village is attacked he and his adopted sister, Laia, are turned to stone. Cirrus, a magical sword once held by his father, is able to rescue Pike but not Laia. Pike must embark on a quest in order to find a way to free his sister from stone. ",3,1
79,10,"albert odyssey: legend of eldean (sega saturn, 1997)", SEGA SATURN ALBERT ODYSSEY LEGEND OF ELDEAN  ,96.45,  Good ,,5,1
84,10,"albert odyssey: legend of eldean (sega saturn, 1997)", Albert Odyssey: Legend of Eldean (Sega Saturn) COMPLETE Tested FAST SHIPPING  ,116.44,  Good ,"              Albert Odyssey: Legend of Eldean was originally released for the Super Nintendo system in Japan. It contains a menu-driven combat system that is turn-based. You control Pike and the other four members of his party. Pike is a young orphan who was raised by harpies. During the first ten years of his life all he has ever known is the peaceful ways of the forest. Now, seemingly from nowhere, monsters have begun attacking humans and violence has erupted in this magical land. When Pike's village is attacked he and his adopted sister, Laia, are turned to stone. Cirrus, a magical sword once held by his father, is able to rescue Pike but not Laia. Pike must embark on a quest in order to find a way to free his sister from stone. ",2,1
87,10,"albert odyssey: legend of eldean (sega saturn, 1997)", Albert Odyssey Legend of Eldean SEGA Saturn RPG Very Rare MINT CONIDTION DISC  ,89.45,  Like New ,,2,1
92,10,"albert odyssey: legend of eldean (sega saturn, 1997)", Albert Odyssey: Legend of Eldean FOR SEGA SATURN COMPLETE!  ,91.4,  Good ,"              Albert Odyssey: Legend of Eldean was originally released for the Super Nintendo system in Japan. It contains a menu-driven combat system that is turn-based. You control Pike and the other four members of his party. Pike is a young orphan who was raised by harpies. During the first ten years of his life all he has ever known is the peaceful ways of the forest. Now, seemingly from nowhere, monsters have begun attacking humans and violence has erupted in this magical land. When Pike's village is attacked he and his adopted sister, Laia, are turned to stone. Cirrus, a magical sword once held by his father, is able to rescue Pike but not Laia. Pike must embark on a quest in order to find a way to free his sister from stone. ",1,1
93,10,"albert odyssey: legend of eldean (sega saturn, 1997)"," Albert Odyssey: Legend of Eldean (Sega Saturn, 1997) Complete in Case  ",121.45,  Like New ,"              Albert Odyssey: Legend of Eldean was originally released for the Super Nintendo system in Japan. It contains a menu-driven combat system that is turn-based. You control Pike and the other four members of his party. Pike is a young orphan who was raised by harpies. During the first ten years of his life all he has ever known is the peaceful ways of the forest. Now, seemingly from nowhere, monsters have begun attacking humans and violence has erupted in this magical land. When Pike's village is attacked he and his adopted sister, Laia, are turned to stone. Cirrus, a magical sword once held by his father, is able to rescue Pike but not Laia. Pike must embark on a quest in order to find a way to free his sister from stone. ",3,1
94,10,"albert odyssey: legend of eldean (sega saturn, 1997)"," Albert Odyssey: Legend of Eldean (Sega Saturn, 1997) Complete in box CIB  ",121.44,  Very Good ,"              Albert Odyssey: Legend of Eldean was originally released for the Super Nintendo system in Japan. It contains a menu-driven combat system that is turn-based. You control Pike and the other four members of his party. Pike is a young orphan who was raised by harpies. During the first ten years of his life all he has ever known is the peaceful ways of the forest. Now, seemingly from nowhere, monsters have begun attacking humans and violence has erupted in this magical land. When Pike's village is attacked he and his adopted sister, Laia, are turned to stone. Cirrus, a magical sword once held by his father, is able to rescue Pike but not Laia. Pike must embark on a quest in order to find a way to free his sister from stone. ",4,1
100,10,"albert odyssey: legend of eldean (sega saturn, 1997)", Albert Odyssey Legend of Eldean SEGA Saturn RPG Very Rare MINT CONIDTION DISC  ,86.44,  Like New ,,3,1
118,10,"albert odyssey: legend of eldean (sega saturn, 1997)", Albert Odyssey Legend of Eldean Sega Saturn Video Game  ,126.44,  Very Good ,,5,1
129,10,"albert odyssey: legend of eldean (sega saturn, 1997)"," Albert Odyssey: Legend of Eldean (Sega Saturn, 1997) CIB  ",126.4,  Acceptable ,"              Albert Odyssey: Legend of Eldean was originally released for the Super Nintendo system in Japan. It contains a menu-driven combat system that is turn-based. You control Pike and the other four members of his party. Pike is a young orphan who was raised by harpies. During the first ten years of his life all he has ever known is the peaceful ways of the forest. Now, seemingly from nowhere, monsters have begun attacking humans and violence has erupted in this magical land. When Pike's village is attacked he and his adopted sister, Laia, are turned to stone. Cirrus, a magical sword once held by his father, is able to rescue Pike but not Laia. Pike must embark on a quest in order to find a way to free his sister from stone. ",3,1
140,10,"albert odyssey: legend of eldean (sega saturn, 1997)", Albert Odyssey: Legend of Eldean FOR SEGA SATURN COMPLETE!  ,91.4,  Good ,"              Albert Odyssey: Legend of Eldean was originally released for the Super Nintendo system in Japan. It contains a menu-driven combat system that is turn-based. You control Pike and the other four members of his party. Pike is a young orphan who was raised by harpies. During the first ten years of his life all he has ever known is the peaceful ways of the forest. Now, seemingly from nowhere, monsters have begun attacking humans and violence has erupted in this magical land. When Pike's village is attacked he and his adopted sister, Laia, are turned to stone. Cirrus, a magical sword once held by his father, is able to rescue Pike but not Laia. Pike must embark on a quest in order to find a way to free his sister from stone. ",1,1
192,10,"albert odyssey: legend of eldean (sega saturn, 1997)"," Albert Odyssey: Legend of Eldean (Sega Saturn, 1997) *Used*  ",86.45,  Good ,"              Albert Odyssey: Legend of Eldean was originally released for the Super Nintendo system in Japan. It contains a menu-driven combat system that is turn-based. You control Pike and the other four members of his party. Pike is a young orphan who was raised by harpies. During the first ten years of his life all he has ever known is the peaceful ways of the forest. Now, seemingly from nowhere, monsters have begun attacking humans and violence has erupted in this magical land. When Pike's village is attacked he and his adopted sister, Laia, are turned to stone. Cirrus, a magical sword once held by his father, is able to rescue Pike but not Laia. Pike must embark on a quest in order to find a way to free his sister from stone. ",1,1
200,10,"albert odyssey: legend of eldean (sega saturn, 1997)"," Albert Odyssey: Legend of Eldean (Sega Saturn, 1997)  ",128.95,  Very Good ,"              Albert Odyssey: Legend of Eldean was originally released for the Super Nintendo system in Japan. It contains a menu-driven combat system that is turn-based. You control Pike and the other four members of his party. Pike is a young orphan who was raised by harpies. During the first ten years of his life all he has ever known is the peaceful ways of the forest. Now, seemingly from nowhere, monsters have begun attacking humans and violence has erupted in this magical land. When Pike's village is attacked he and his adopted sister, Laia, are turned to stone. Cirrus, a magical sword once held by his father, is able to rescue Pike but not Laia. Pike must embark on a quest in order to find a way to free his sister from stone. ",3,1
201,10,"albert odyssey: legend of eldean (sega saturn, 1997)",   Albert Odyssey: Legend of Eldean CIB Complete Registration Card Sega Saturn ,131.45,  Like New ,"              Albert Odyssey: Legend of Eldean was originally released for the Super Nintendo system in Japan. It contains a menu-driven combat system that is turn-based. You control Pike and the other four members of his party. Pike is a young orphan who was raised by harpies. During the first ten years of his life all he has ever known is the peaceful ways of the forest. Now, seemingly from nowhere, monsters have begun attacking humans and violence has erupted in this magical land. When Pike's village is attacked he and his adopted sister, Laia, are turned to stone. Cirrus, a magical sword once held by his father, is able to rescue Pike but not Laia. Pike must embark on a quest in order to find a way to free his sister from stone. ",5,1
205,10,"albert odyssey: legend of eldean (sega saturn, 1997)", Sega Saturn Albert Odyssey Legend of Eldean COMPLETE w/ Instructions RARE RPG  ,99.45,  Very Good ,"              Albert Odyssey: Legend of Eldean was originally released for the Super Nintendo system in Japan. It contains a menu-driven combat system that is turn-based. You control Pike and the other four members of his party. Pike is a young orphan who was raised by harpies. During the first ten years of his life all he has ever known is the peaceful ways of the forest. Now, seemingly from nowhere, monsters have begun attacking humans and violence has erupted in this magical land. When Pike's village is attacked he and his adopted sister, Laia, are turned to stone. Cirrus, a magical sword once held by his father, is able to rescue Pike but not Laia. Pike must embark on a quest in order to find a way to free his sister from stone. ",2,1
213,10,"albert odyssey: legend of eldean (sega saturn, 1997)", Albert Odyssey Legend of Eldean SEGA Saturn RPG Very Rare MINT CONIDTION DISC  ,86.44,  Like New ,,3,1
249,10,"albert odyssey: legend of eldean (sega saturn, 1997)",   Albert Odyssey Legend of Eldean SEGA Saturn RPG Very  Rare   MINT CONIDTION DISC ,79.99,  Like New ,,3,0
274,10,"albert odyssey: legend of eldean (sega saturn, 1997)",   Albert Odyssey Legend of Eldean SEGA Saturn RPG Very  Rare   MINT CONIDTION DISC ,83.99,  Like New ,,3,0
290,10,"albert odyssey: legend of eldean (sega saturn, 1997)","   Albert Odyssey: Legend of Eldean  (Sega Saturn, 1997) no manual ",81.45,  Very Good ,"              Albert Odyssey: Legend of Eldean was originally released for the Super Nintendo system in Japan. It contains a menu-driven combat system that is turn-based. You control Pike and the other four members of his party. Pike is a young orphan who was raised by harpies. During the first ten years of his life all he has ever known is the peaceful ways of the forest. Now, seemingly from nowhere, monsters have begun attacking humans and violence has erupted in this magical land. When Pike's village is attacked he and his adopted sister, Laia, are turned to stone. Cirrus, a magical sword once held by his father, is able to rescue Pike but not Laia. Pike must embark on a quest in order to find a way to free his sister from stone. ",1,0
308,10,"albert odyssey: legend of eldean (sega saturn, 1997)",   Albert Odyssey: Legend of Eldean (Sega Saturn) * RARE* ,118.99,  Acceptable ,"              Albert Odyssey: Legend of Eldean was originally released for the Super Nintendo system in Japan. It contains a menu-driven combat system that is turn-based. You control Pike and the other four members of his party. Pike is a young orphan who was raised by harpies. During the first ten years of his life all he has ever known is the peaceful ways of the forest. Now, seemingly from nowhere, monsters have begun attacking humans and violence has erupted in this magical land. When Pike's village is attacked he and his adopted sister, Laia, are turned to stone. Cirrus, a magical sword once held by his father, is able to rescue Pike but not Laia. Pike must embark on a quest in order to find a way to free his sister from stone. ",5,0
119,11,sega saturn white console system set with free game only japanese version ss,   Sega Saturn Grey Console System set with free game only Japanese version SS ,51.45,  Used ,,12,1
257,11,sega saturn white console system set with free game only japanese version ss,   Sega Saturn White Console System + Free Game Disc only  Japanese version SS ,40.0,  Used ,,8,0
265,11,sega saturn white console system set with free game only japanese version ss,   Sega Saturn White Console System + Free Game Disc only  Japanese version SS ,35.0,  Used ,,9,0
282,11,sega saturn white console system set with free game only japanese version ss,   Sega Saturn Grey Console System set with free game only Japanese version SS ,117.0,  Used ,,12,0
303,11,sega saturn white console system set with free game only japanese version ss,   Sega Saturn White Console System set with free game only Japanese version SS ,120.0,  Used ,,12,0
24,11,, JAPANESE Sega Saturn Gray Console with 2 FREE GAMES  ,46.45,  Used ," Enjoy entertaining classic video games with loved ones on the Sega Saturn video game console. Featuring dual processors, this Sega console ensures that you have a smooth gaming experience. The 12-Mbit video RAM of the Sega Saturn console gives you stunning and immersive visual output. Moreover, with 32,000 colors, this video game console has a vibrant display. Developed by Yamaha, the Saturn Custom Sound processor of this Sega console delivers excellent audio output. So put your favorite game CDs in the double speed CD-ROM drive of this video game console and enjoy unlimited entertainment. ",1,1
238,11,,   Sega Saturn Sonic Jam With Original Case ,44.99,  Acceptable ,,1,0
1,12,shining force iii 3 - sega saturn - complete original case &amp; manual, Shining Force 3 - Sega Saturn - 1998 - Disc and Case - No Manual - Strategy RPG  ,66.44,  Acceptable ,,6,1
56,12,shining force iii 3 - sega saturn - complete original case &amp; manual, Shining Force 3 US version extremely RARE!  ,115.0,  Very Good ,,1,1
112,12,shining force iii 3 - sega saturn - complete original case &amp; manual," Shining Force III (3), Sega Saturn -- No Instruction &amp; original Back Photo  ",106.5,  Good ,,2,1
126,12,shining force iii 3 - sega saturn - complete original case &amp; manual," Shining Force 3 III (Sega Saturn, 1998) Complete - Mint Condition Rare Game !!  ",127.33,  Like New ,"              As the story unfolds the Destonia Empire and the Aspinian Empire are close to peace. However, during a peace summit in Saraband, the Bulzome monks and their leaders are able to kidnap the Destonian emperor while impersonating the Aspinian king. Thus, the world believes the Aspinian people do not want peace and a war ensues.<br><br>Shining Force III is a combination of role-playing and strategy. You take the role of Synbios, son of the Destonian emperor's son. You command an army of characters who are made up of typical RPG classes such as knights and mages. Each character has their own types of weapons and some are capable of magic. Battles are where the strategy elements take place. On the battlefield players take turns attacking and can even make friends with other characters who are attacking the same foe. ",8,1
154,12,shining force iii 3 - sega saturn - complete original case &amp; manual, Shining Force III 3 Sega Saturn Complete With Manual Long Box  ,139.98,  Good ,,3,1
196,12,shining force iii 3 - sega saturn - complete original case &amp; manual," Shining force 3 SEGA Saturn Loose,FREE shipping  ",71.45,  Good ,,1,1
212,12,shining force iii 3 - sega saturn - complete original case &amp; manual," Shining Force III 3 for Sega Saturn, complete USA version!  ",116.4,  Very Good ,,6,1
261,12,shining force iii 3 - sega saturn - complete original case &amp; manual,   Shining Force 3 US version extremely RARE! ,165.0,  Very Good ,,1,0
312,12,shining force iii 3 - sega saturn - complete original case &amp; manual,   Shining Force III 3 - Sega Saturn - COMPLETE Original Case &amp; Manual ,140.99,  Good ,,1,0
328,12,shining force iii 3 - sega saturn - complete original case &amp; manual,   Shining Force III 3 - Sega Saturn - COMPLETE Original Case &amp; Manual ,148.99,  Good ,,1,0
151,12,," COMPLETE ! Shining Force III 3 (Sega Saturn, 1998) VERY GOOD CONDITION + MANUAL  ",126.44,  Very Good ,"              As the story unfolds the Destonia Empire and the Aspinian Empire are close to peace. However, during a peace summit in Saraband, the Bulzome monks and their leaders are able to kidnap the Destonian emperor while impersonating the Aspinian king. Thus, the world believes the Aspinian people do not want peace and a war ensues.<br><br>Shining Force III is a combination of role-playing and strategy. You take the role of Synbios, son of the Destonian emperor's son. You command an army of characters who are made up of typical RPG classes such as knights and mages. Each character has their own types of weapons and some are capable of magic. Battles are where the strategy elements take place. On the battlefield players take turns attacking and can even make friends with other characters who are attacking the same foe. ",1,1
216,12,, Dragon Force Complete Rare Near Mint (Sega Saturn)  ,108.95,  Very Good ,"              Dragon Force is set in the fantasy land of Legendra which has been taken over by the evil Madruk. Legendra's only hope rests on the shoulders of one of eight warlords. You must choose one of those eight to play as and unite an army in order to overthrow Madruk's reign. There are multiple endings in Dragon Force as each one of the eight characters has their own storyline. Battles take place in real time and can consist of up to 200 warriors battling onscreen at once. While attacking and capturing enemy land and castles, you must also defend your own lands from enemy invaders. Armies can be made up of such warriors as archers, dragons, zombies, or samurai. Each army has a general who is capable of using magic during battles. ",5,1
11,13,die hard arcade, &quot;Die Hard Arcade&quot; Sega Saturn 1997  ,18.45,  Good ,,1,1
14,13,die hard arcade,"   Die Hard Arcade For (Sega Saturn, 1997) Disc Only FREE SHIPPING ",26.45,  Acceptable ,"              Die Hard Arcade takes place after the second Die Hard movie, Die Hard with a Vengeance. Single or multiple players may take the role of John McClane and his female partner as they stand against a horde of terrorists to save John's wife and the president's daughter. <br><br>Gamers must traverse the rooftops, galleries, and restrooms of the Nakatomi Corporation's building, while fighting punks, martial arts experts, sumo wrestlers, and SWAT team members. Die Hard Arcade features multiple endings as well as the Sega Arcade classic Deep Scan. Completing Deep Scan in one try unlocks extra credits for Die Hard Arcade. ",2,1
